,start,end,duration_mins,cluster,implicated_vars,z_scores
222,2019-02-07 23:50:00,2019-02-08 00:50:00,60.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 4.52, Cyclone_Outlet_Gas_draft: 4.32"
223,2019-02-11 19:30:00,2019-02-11 20:05:00,35.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 3.81, Cyclone_Outlet_Gas_draft: 3.61"
224,2019-02-12 08:30:00,2019-02-12 09:00:00,30.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 5.30, Cyclone_Outlet_Gas_draft: 4.13"
225,2019-02-12 09:45:00,2019-02-12 10:05:00,20.0,2,"Cyclone_Inlet_Gas_Temp, Cyclone_Inlet_Draft","Cyclone_Inlet_Gas_Temp: 6.13, Cyclone_Inlet_Draft: 4.05"
226,2019-02-17 06:45:00,2019-02-17 06:55:00,10.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 3.61, Cyclone_Outlet_Gas_draft: 3.33"
227,2019-02-17 07:30:00,2019-02-17 08:30:00,60.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 4.19, Cyclone_Outlet_Gas_draft: 3.95"
228,2019-02-17 09:00:00,2019-02-17 09:10:00,10.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 4.21, Cyclone_Outlet_Gas_draft: 4.02"
229,2019-02-17 19:35:00,2019-02-17 20:05:00,30.0,2,"Cyclone_Inlet_Draft, Cyclone_Inlet_Gas_Temp","Cyclone_Inlet_Draft: 4.04, Cyclone_Inlet_Gas_Temp: 3.65"
230,2019-02-18 01:10:00,2019-02-18 01:30:00,20.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 3.80, Cyclone_Outlet_Gas_draft: 3.31"
231,2019-03-09 05:05:00,2019-03-09 05:25:00,20.0,2,"Cyclone_Inlet_Gas_Temp, Cyclone_Inlet_Draft","Cyclone_Inlet_Gas_Temp: 3.90, Cyclone_Inlet_Draft: 3.80"
232,2019-03-17 20:35:00,2019-03-17 21:00:00,25.0,2,"Cyclone_Gas_Outlet_Temp, Cyclone_cone_draft","Cyclone_Gas_Outlet_Temp: 4.93, Cyclone_cone_draft: 3.45"
233,2019-03-18 16:45:00,2019-03-18 16:55:00,10.0,2,"Cyclone_Inlet_Gas_Temp, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Gas_Temp: 5.58, Cyclone_Outlet_Gas_draft: 4.41"
234,2019-03-18 17:55:00,2019-03-18 18:05:00,10.0,2,"Cyclone_Inlet_Gas_Temp, Cyclone_Inlet_Draft","Cyclone_Inlet_Gas_Temp: 3.89, Cyclone_Inlet_Draft: 3.74"
235,2019-04-07 13:25:00,2019-04-07 13:35:00,10.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 10.09, Cyclone_Outlet_Gas_draft: 8.85"
236,2019-04-07 17:50:00,2019-04-07 18:00:00,10.0,2,"Cyclone_Inlet_Gas_Temp, Cyclone_Inlet_Draft","Cyclone_Inlet_Gas_Temp: 4.69, Cyclone_Inlet_Draft: 3.62"
237,2019-04-21 08:05:00,2019-04-21 08:25:00,20.0,2,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft","Cyclone_Outlet_Gas_draft: 4.30, Cyclone_Inlet_Draft: 4.21"
238,2019-05-15 14:15:00,2019-05-15 15:40:00,85.0,2,"Cyclone_Material_Temp, Cyclone_Inlet_Gas_Temp","Cyclone_Material_Temp: 8.00, Cyclone_Inlet_Gas_Temp: 3.42"
239,2019-06-22 15:50:00,2019-06-22 16:20:00,30.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 5.57, Cyclone_Outlet_Gas_draft: 5.40"
240,2019-07-19 00:35:00,2019-07-19 01:10:00,35.0,2,"Cyclone_cone_draft, Cyclone_Inlet_Draft","Cyclone_cone_draft: 4.57, Cyclone_Inlet_Draft: 3.96"
241,2019-07-19 18:15:00,2019-07-19 18:30:00,15.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 3.73, Cyclone_Outlet_Gas_draft: 3.70"
242,2019-08-15 16:10:00,2019-08-15 16:20:00,10.0,2,"Cyclone_Inlet_Draft, Cyclone_Inlet_Gas_Temp","Cyclone_Inlet_Draft: 3.56, Cyclone_Inlet_Gas_Temp: 3.26"
243,2019-10-26 11:25:00,2019-10-26 11:45:00,20.0,2,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft","Cyclone_Outlet_Gas_draft: 4.79, Cyclone_Inlet_Draft: 3.70"
244,2019-10-27 06:50:00,2019-10-27 07:20:00,30.0,2,"Cyclone_Outlet_Gas_draft, Cyclone_Gas_Outlet_Temp","Cyclone_Outlet_Gas_draft: 5.73, Cyclone_Gas_Outlet_Temp: 5.36"
245,2019-11-28 13:35:00,2019-11-28 13:50:00,15.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 5.26, Cyclone_Outlet_Gas_draft: 4.54"
246,2019-12-25 07:50:00,2019-12-25 08:05:00,15.0,2,"Cyclone_Inlet_Draft, Cyclone_Inlet_Gas_Temp","Cyclone_Inlet_Draft: 4.13, Cyclone_Inlet_Gas_Temp: 4.03"
247,2020-03-02 17:25:00,2020-03-02 17:55:00,30.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 6.43, Cyclone_Outlet_Gas_draft: 5.55"
248,2020-05-17 21:05:00,2020-05-17 21:15:00,10.0,2,"Cyclone_Inlet_Gas_Temp, Cyclone_Gas_Outlet_Temp","Cyclone_Inlet_Gas_Temp: 7.79, Cyclone_Gas_Outlet_Temp: 6.91"
249,2020-05-21 11:20:00,2020-05-21 11:40:00,20.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 9.00, Cyclone_Outlet_Gas_draft: 8.12"
250,2020-05-26 11:10:00,2020-05-26 11:25:00,15.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 6.36, Cyclone_Outlet_Gas_draft: 5.83"
251,2020-05-28 02:35:00,2020-05-28 02:45:00,10.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 4.96, Cyclone_Outlet_Gas_draft: 4.74"
252,2020-07-17 16:55:00,2020-07-17 17:15:00,20.0,2,"Cyclone_Material_Temp, Cyclone_Outlet_Gas_draft","Cyclone_Material_Temp: 8.00, Cyclone_Outlet_Gas_draft: 3.62"
253,2020-07-19 06:30:00,2020-07-19 06:55:00,25.0,2,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 4.43, Cyclone_Outlet_Gas_draft: 3.96"
254,2017-02-01 13:25:00,2017-02-01 13:45:00,20.0,3,"Cyclone_cone_draft, Cyclone_Inlet_Draft","Cyclone_cone_draft: 4.09, Cyclone_Inlet_Draft: 3.72"
255,2017-02-08 07:15:00,2017-02-08 07:35:00,20.0,3,"Cyclone_Inlet_Gas_Temp, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Gas_Temp: 4.89, Cyclone_Outlet_Gas_draft: 3.59"
256,2017-03-26 02:00:00,2017-03-26 02:15:00,15.0,3,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 4.38, Cyclone_Outlet_Gas_draft: 4.25"
257,2017-03-27 12:15:00,2017-03-27 12:25:00,10.0,3,"Cyclone_Inlet_Gas_Temp, Cyclone_Inlet_Draft","Cyclone_Inlet_Gas_Temp: 4.13, Cyclone_Inlet_Draft: 4.04"
258,2017-04-17 19:05:00,2017-04-17 20:05:00,60.0,3,"Cyclone_Inlet_Gas_Temp, Cyclone_Inlet_Draft","Cyclone_Inlet_Gas_Temp: 4.11, Cyclone_Inlet_Draft: 3.96"
259,2017-04-18 10:00:00,2017-04-18 10:30:00,30.0,3,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 5.34, Cyclone_Outlet_Gas_draft: 5.29"
260,2017-04-19 22:40:00,2017-04-19 23:05:00,25.0,3,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 4.33, Cyclone_Outlet_Gas_draft: 4.19"
261,2017-04-19 23:35:00,2017-04-19 23:50:00,15.0,3,"Cyclone_Inlet_Gas_Temp, Cyclone_Material_Temp","Cyclone_Inlet_Gas_Temp: 4.80, Cyclone_Material_Temp: 4.35"
262,2017-04-20 00:35:00,2017-04-20 00:50:00,15.0,3,"Cyclone_Material_Temp, Cyclone_Inlet_Gas_Temp","Cyclone_Material_Temp: 5.46, Cyclone_Inlet_Gas_Temp: 4.83"
263,2017-04-20 01:10:00,2017-04-20 01:30:00,20.0,3,"Cyclone_Inlet_Gas_Temp, Cyclone_Material_Temp","Cyclone_Inlet_Gas_Temp: 4.60, Cyclone_Material_Temp: 4.22"
264,2017-05-19 00:10:00,2017-05-19 00:30:00,20.0,3,"Cyclone_Inlet_Gas_Temp, Cyclone_Inlet_Draft","Cyclone_Inlet_Gas_Temp: 4.73, Cyclone_Inlet_Draft: 4.38"
265,2017-05-31 22:55:00,2017-05-31 23:15:00,20.0,3,"Cyclone_Outlet_Gas_draft, Cyclone_Inlet_Draft","Cyclone_Outlet_Gas_draft: 5.09, Cyclone_Inlet_Draft: 4.92"
266,2017-06-01 01:05:00,2017-06-01 01:15:00,10.0,3,"Cyclone_Inlet_Gas_Temp, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Gas_Temp: 4.65, Cyclone_Outlet_Gas_draft: 3.24"
267,2017-06-01 02:05:00,2017-06-01 02:20:00,15.0,3,"Cyclone_Inlet_Gas_Temp, Cyclone_Inlet_Draft","Cyclone_Inlet_Gas_Temp: 4.07, Cyclone_Inlet_Draft: 3.76"
268,2017-06-03 17:40:00,2017-06-03 18:15:00,35.0,3,"Cyclone_Inlet_Draft, Cyclone_Outlet_Gas_draft","Cyclone_Inlet_Draft: 4.39, Cyclone_Outlet_Gas_draft: 4.01"
269,2017-06-05 00:10:00,2017-06-05 00:20:00,10.0,3,"Cyclone_Inlet_Gas_Temp, Cyclone_Material_Temp","Cyclone_Inlet_Gas_Temp: 5.13, Cyclone_Material_Temp: 3.38"
